"paper_id","title","authors","year","venue","publication_status","medical_task","dataset","imaging_modality","segmentation_target","classification_or_prediction_target","graph_type","node_definition","edge_or_hyperedge_definition","static_or_dynamic_structure","within_patient_or_cross_patient","segmentation_role","network_backbone","fusion_strategy","loss_functions","missing_modality_setting","training_protocol","main_methodological_contribution","main_limitations","relevance_to_my_work","possible_application","code_available","paper_link","code_link","verification_status"
"P01-AHGNN","A Novel Adaptive Hypergraph Neural Network for Enhancing Medical Image Segmentation","Shurong Chai; Rahul K. Jain; Shaocong Mo; Jiaqing Liu; Yulin Yang; Yinhao Li; Tomoko Tateyama; Lanfen Lin; Yen-Wei Chen","2024","MICCAI 2024","正式发表","腹部多器官与心脏 MRI 分割","Synapse; ACDC","CT; cine MRI","多器官; 心脏结构","无","hypergraph","低分辨率特征图展平后的空间位置/patch 为节点","每个节点通过自适应特征 KNN 形成超边，并叠加局部滑窗超边；由 incidence matrix 执行节点-超边传播","样本内动态 KNN + 固定局部结构","within-patient","primary task","CNN encoder-decoder + AHGNN blocks","超图分支与卷积分支在低分辨率语义层融合并残差更新","0.3 CE + 0.7 Dice；decoder deep supervision","未研究缺失模态","2D 224×224；SGD；Synapse 600 epochs, lr=0.003, batch=8；ACDC 200 epochs, lr=0.05, batch=8","同时编码非局部语义相似性与局部空间邻域，并按节点度调节超边规模","非脑肿瘤、非多模态；动态 KNN 对缺失模态噪声敏感；未证明优于同容量普通图的全部增益来自高阶关系","5","保留固定 5 条 anatomy hyperedges，仅借鉴低分辨率超图残差块、局部/远程关系并行和自适应边权，不直接引入 sample-wise KNN","是","https://papers.miccai.org/miccai-2024/027-Paper2689.html","https://github.com/11yxk/AHGNN","标题、正式状态、节点、超边、数据集、代码和主要训练协议已由 MICCAI 正文/补充材料核实"
"P02-HYCON","Multi-modal hypergraph contrastive learning for medical image segmentation","Weipeng Jing; Junze Wang; Donglin Di; Dandan Li; Yang Song; Lei Fan","2025","Pattern Recognition 165, 111544","正式发表","少标注多模态医学影像分割","MSD/TCIA lung cohort; BraTS（公开预览未明确版本）","CT; PET-CT; T1; T1ce; T2; FLAIR","肺部目标; 脑肿瘤","无","hypergraph","来自不同图像与模态的特征顶点；公开预览未完整说明空间粒度","教师 HCLN 跨图像、跨模态构造超边；同一超边内顶点作为高阶正样本，并向 MLP 学生蒸馏拓扑、上下文和关系","训练期学习/构造；推理期使用无图学生","cross-patient","primary task","跨模态生成网络 + hypergraph contrastive teacher + MLP student","先生成配对跨模态图像，再进行超图对比学习和 teacher-to-student distillation","分割损失 + 超图对比/蒸馏目标；精确权重需人工核查","不是缺失模态；面向 5%/10% 标注比例","两阶段训练；PyTorch；4×Tesla V100；epoch、batch、lr 在公开预览中不完整，需查全文/代码配置","用跨模态高阶正样本组织少标注分割表征，并将超图关系压缩到轻量学生","跨患者超边可能引入批次依赖；不处理任意模态缺失；节点空间粒度和完整超参数仍需人工核查","4","可借鉴跨模态一致性和关系蒸馏，将同一 anatomy ROI 的不同可用模态视为一致性组，而不采用跨患者推理图","是","https://www.sciencedirect.com/science/article/pii/S0031320325002043","https://github.com/reeive/HyCon","正式出版、任务、跨模态超图、代码和两阶段协议已核实；节点细粒度与部分超参数标记人工核查"
"P03-UHRNET","UHR-Net: An Uncertainty-Aware Hypergraph Refinement Network for Medical Image Segmentation","Shuokun Cheng; Jinghao Shi; Kun Sun","2026","arXiv:2604.28095","预印本","多类病灶与器官分割后验细化","Kvasir-SEG; Kvasir-Sessile; GlaS; ISIC 2016; ISIC 2017","内镜; 病理; 皮肤镜","息肉; 腺体; 皮肤病灶","无","hypergraph","特征图中每个像素位置为节点","前景/背景各设一组动态超边原型；由粗分割上下文预测样本特异偏移，点积产生 soft incidence，预测熵调节节点-超边归属","样本内动态 soft hypergraph；多尺度","within-patient","primary task","encoder-decoder + multi-scale UGHR blocks + dilated convolution branch","节点到超边再回到节点的传播与并行空洞卷积分支残差融合","Dice + BCE；另有 uncertainty-oriented image composition 预训练目标","未研究缺失模态","Adam, batch=16；五个数据集沿用 ConDSeg 划分；学习率和完整 schedule 需人工核查","将粗分割不确定性显式写入 soft incidence，并用前景/背景超边原型细化边界","截至 2026-07-14 仅为预印本；代码仓库较新且无 release；非 3D/脑 MRI；原型超边数量为手工超参","5","最适合启发 soft anatomy masks、boundary uncertainty 和 residual hyperedge gate；不应照搬像素级建图","是","https://arxiv.org/abs/2604.28095","https://github.com/CUGfreshman/UHR-Net","arXiv 正文、节点、soft incidence、损失、数据集及仓库已核实；正式发表状态为未发现"
"P04-REHYDIL","ReHyDIL: Resilient Hypergraph Neural Networks for Domain-Incremental Learning with Missing Modalities in Medical Image Segmentation","Junze Wang; Lei Fan; Weipeng Jing; Donglin Di; Yang Song; Sidong Liu; Cong Cong","2025","MICCAI 2025","正式发表","缺失模态域增量脑肿瘤分割","BraTS 2019, 335 patients","T1; T2; FLAIR; T1ce","脑肿瘤亚区","无","hypergraph","encoder 第 4/5 层的 B×H×W 特征位置展平为跨患者-空间节点","每个节点以自适应特征 KNN 形成动态超边，并叠加局部滑窗超边；CHSNet 在深层语义特征上传播","训练批次内动态；随增量域更新","cross-patient","primary task","segmentation encoder-decoder + CHSNet + replay/TAC continual-learning modules","深层超图特征进入分割解码器，并以 replay 和 topology-aware contrastive queue 抑制遗忘","分割目标 + topology-aware contrastive/continual-learning objectives；完整权重见正文/代码","按 T1→T2→FLAIR→T1ce 的域增量顺序，不等同于任意 15 种模态组合","患者级 8:1:1；2D axial 224×224；200 epochs；batch=64；Adam lr=1e-4, wd=4e-4；2×V100；10% replay","在缺失模态域增量场景中结合动态超图、回放与拓扑对比，保持旧域分割关系","问题设定是顺序域增量而非单模型任意缺失；跨患者 batch graph 可能造成批次依赖；动态 KNN 易受缺失模态扰动","5","可借鉴深层语义层超图位置、拓扑一致性正则和少量 replay；当前模型应保留固定 anatomy topology，避免跨患者 KNN","是","https://papers.miccai.org/miccai-2025/0430-Paper2774.html","https://github.com/reeive/ReHyDIL","MICCAI 正文、代码、节点/超边、BraTS2019、域顺序和训练协议已核实"
"P05-GNNTUMOR","A Joint Graph and Image Convolution Network for Automatic Brain Tumor Segmentation","Camillo Saueressig; Adam Berkley; Reshma Munbodh; Ritambhara Singh","2022","BrainLes 2021 workshop proceedings, LNCS 12962","正式发表","多模态脑肿瘤分割","BraTS 2021, 1251 training and 216 validation cases","T1; T1ce; T2; FLAIR","脑肿瘤区域","无","ordinary graph","每个受试者约 15,000 个 supervoxels 为节点，节点特征汇总四模态强度","相邻 supervoxels 以普通二元边连接；不是超边","患者内静态邻接，由 supervoxelization 决定","within-patient","primary task","7-layer GraphSAGE-pool GNN + shallow 2-layer CNN refinement","GNN 的 region logits 映射回 voxel grid，再由 CNN 细化粗分割","区域分割损失；正文未在公开摘要中完整列出全部权重，需查 PDF/代码","未研究缺失模态；默认四模态输入","GNN 超参随机搜索和 5-fold CV；最佳配置在全部训练数据上训练 3 次并选验证最优；完整细节见官方代码","给出清晰的 image→supervoxel graph→region logits→voxel refinement 数据流","约 15,000 节点计算重；supervoxel 质量影响上限；默认完整模态；普通图并非超图","5","直接借鉴 region-to-voxel/voxel-to-region 映射思想，用分割概率形成 5 个 soft anatomy nodes，而不构建大规模 supervoxel graph","是","https://arxiv.org/abs/2109.05580","https://github.com/rsinghlab/GNN-Tumor-Seg","正式出版、BraTS2021、supervoxel 节点、邻接边、GraphSAGE-CNN 流程和代码已核实"
"P06-VIGUNET","ViG-UNet: Vision Graph Neural Networks for Medical Image Segmentation","Juntao Jiang; Xiyu Chen; Guanzhong Tian; Yong Liu","2023","IEEE ISBI 2023","正式发表","2D 医学图像分割","ISIC 2016; ISIC 2017; Kvasir-SEG","皮肤镜; 内镜","皮肤病灶; 息肉","无","ordinary graph","图像/特征图 patch 为节点","每个节点连接特征空间 K=9 最近邻，使用 max-relative graph convolution；全部为二元有向边","每层按特征动态更新 KNN","within-patient","primary task","U-shaped vision GNN with Grapher and FFN blocks","encoder、bottleneck、decoder 多尺度图推理；skip features 相加","0.5 BCE + Dice","未研究缺失模态","2D 训练；旋转、翻转、归一化；CosineAnnealingLR(min=1e-5)；其余超参见论文","证明普通视觉图块可贯穿 U-Net 多尺度路径建模远程关系","约 0.7G 参数，远不适合作为轻量辅助头；动态 KNN 风险高；非脑 MRI；官方 GitHub 链接截至核查时为空仓库","3","只借鉴 bottleneck/低分辨率关系推理位置；不采用全尺度动态图或其参数规模","链接存在但仓库为空","https://april.zju.edu.cn/wp-content/papercite-data/pdf/jiang2023vig.pdf","https://github.com/juntaoJianggavin/ViG-UNet","论文标题、普通 KNN 图、K=9、数据集和损失已核实；代码链接为空，复现性有限"
"P07-GRAPHCL","GraphCL: Graph-based Clustering for Semi-supervised Medical Image Segmentation","Mengzhu Wang; Houcheng Su; Jiao Li; Chuan Li; Nan Yin; Li Shen; Jingcai Guo","2025","ICML 2025, PMLR 267","正式发表","半监督医学影像分割","ACDC; LA; Pancreas-NIH","cine MRI; cardiac MRI; abdominal CT","心脏; 左心房; 胰腺","无","ordinary graph","一个训练样本的 CNN 表示为节点，形成跨样本 dense instance graph","基于局部图像特征/原始特征计算普通 pairwise affinity，并以 GCN 对齐和无需预设 K 的聚类目标优化","训练批次/样本库内动态学习","cross-patient","primary task","BCP-style teacher-student segmentation backbone + GCN clustering","实例图正则嵌入半监督 teacher-student 流程，推理仍由分割网络完成","监督分割 + consistency/pseudo-label + graph clustering objectives","未研究缺失模态","公开代码提供 ACDC/LA/Pancreas 脚本；不同数据集使用 2D U-Net 或 3D V-Net；完整 schedule 见配置","用跨样本图聚类改善少标注条件下类内紧致和类间分离","跨患者/批次依赖；不是 anatomy graph；无多模态或缺失模态；对当前小规模 ROI 图并非直接替换","3","可将其聚类正则缩小为同一 ROI 跨模态/跨缺失组合的一致性约束，不把患者作为在线推理节点","是","https://proceedings.mlr.press/v267/wang25cq.html","https://github.com/dreamkily/GraphCL","PMLR 正式论文、普通实例图、任务、数据集和官方仓库已核实"
"P08-GRAPHFLOW","Graph Flow: Cross-Layer Graph Flow Distillation for Dual Efficient Medical Image Segmentation","Wenxuan Zou; Xingqun Qi; Wanting Zhou; Muyi Sun; Zhenan Sun; Caifeng Shan","2023","IEEE Transactions on Medical Imaging 42(4):1159-1171","正式发表","高效医学影像分割知识蒸馏","Gastric Cancer; Synapse; BUSI; CVC-ClinicDB","CT; ultrasound; endoscopy","胃癌; 多器官; 乳腺病灶; 息肉","无","ordinary graph","特征图的通道为节点；每个节点取最大激活附近 salience patch","通道 salience regions 之间的相关性为普通二元边；跨层变化构成 variation graph","由特征动态计算；teacher/student 间对齐","within-patient","primary task","FANet teacher; Mobile U-Net/ENet/ERFNet students","蒸馏 teacher 与 student 的跨层节点变化和边变化，并结合 logits/adversarial distillation","segmentation loss + graph-flow distillation + logits/adversarial distillation","未研究缺失模态","Adam, weight decay=2e-4；salience patch 胃癌 9×9、Synapse 3×3；完整数据集 schedule 见正文","不是传递分割消息，而是蒸馏跨层关系变化，保留轻量学生的结构知识","节点是通道而非解剖 ROI；不是超图；无公开可复现代码；教师性能/结构限制学生上限","3","可用于完整模态 teacher 向缺失模态 student 蒸馏 5 个 ROI 节点和 5 条超边的响应变化","否（未核实官方可用仓库）","https://pubmed.ncbi.nlm.nih.gov/36423314/","","正式期刊、任务、通道节点、相关性边和核心蒸馏机制已由 TMI/PubMed 与预印本核实；代码未核实"
"P09-ADAMM","AdaMM: Adaptive Missing-Modality Brain Tumor Segmentation with Learnable Graph Reasoning and Diffusion-based Modality Synthesis","Shenghao Zhu; Yifei Chen; Weihong Chen; Shuo Jiang; Guanyu Zhou; Yuanhan Wang; Feiwei Qin; Changmiao Wang; Qiyuan Tian","2026","Medical Image Analysis 112, 104108","正式发表","任意缺失模态脑肿瘤分割","BraTS 2018; BraTS 2024; Pretreat-MetsToBrain-Masks","T1; T1ce; T2; FLAIR","脑肿瘤/转移瘤区域","病灶存在性辅助预测","ordinary graph","每个患者 K=8 个可学习 anchor prototype 为节点","complete-feature graph 与 generated-feature graph 使用普通 pairwise similarity 边；跨图边由 cosine threshold 0.8 建立并经 GAT 推理","患者内动态学习；拓扑随特征变化","within-patient","primary task","full-modality teacher / missing-modality student + BBDM + GAT modules","缺失模态合成、双图关系对齐和 lesion-presence auxiliary classifier 联合","segmentation + diffusion/reconstruction + graph alignment + lesion-presence objectives；精确权重见论文/代码","每次迭代从 15 种非空 availability masks 中随机采样一种并 zero-fill；teacher 使用完整模态","80/20 patient split；14 个缺失模式适配器；详细 epoch/lr 以论文和配置为准","把缺失/完整表示组织为双普通图并以辅助病灶存在性抑制假阳性","不是超图；14 adapters 维护成本高；代码快照缺少部分 README 所述入口/模块；完整模态 teacher 假设不一定适用于天然不完整训练集","5","借鉴 mask-aware graph distillation、病灶存在性辅助目标和完整/缺失关系对齐；不照搬 14 adapters 或动态重构拓扑","部分（仓库公开但快照不完整）","https://doi.org/10.1016/j.media.2026.104108","https://github.com/Quanato607/AdaMM","期刊状态、普通图、K=8 anchors、跨图阈值、随机缺失 mask 和代码状态已核实"
"P10-D3SEG","D3Seg: Disentangled Diffusion and Dynamic Graph Fusion for Missing Modality Brain Tumor Segmentation","Danish Ali; Ajmal Mian; Naveed Akhtar; Ghulam Mubashar Hassan","2026","arXiv:2605.22249","预印本","任意缺失模态脑肿瘤分割","BraTS 2023 Glioma; external meningioma subset (279 cases)","T1; T1ce; T2; FLAIR","脑肿瘤亚区","无","ordinary graph","四个模态的全局描述符为节点；缺失模态槽位被 mask","模态间 cosine similarity 为普通二元边；显式使用 A、A²、A³ 多跳关系","患者内按输入动态计算并由 availability mask 稀疏化","within-patient","primary task","independent 3D encoders + MMGF + latent diffusion completion + EGDR decoder","两尺度模态图融合；仅补全缺失 T1ce/FLAIR；融合后再次按 availability mask 约束上下文","segmentation + diffusion/completion objectives；完整公式见预印本","报告全部 15 种组合；availability mask 同时约束模态图与融合上下文","训练 mask 采样、epoch、batch 和 checkpoint 规则在公开稿中仍需人工核查","以普通模态图显式编码可用模态关系，并将生成式补全限制在关键模态","截至 2026-07-14 仅为预印本且未发现官方代码；多跳 adjacency 不等于超图；扩散模块不适合作为当前 MVP","4","借鉴 availability-aware 模态关系与固定槽位 masking；当前模型只需将 mask/confidence 输入超边权重，不必引入 diffusion","否","https://arxiv.org/abs/2605.22249","","预印本真实性、数据集、普通模态图、A/A²/A³、15 组合已核实；训练细节与代码需人工核查"
