paper_id,theme,year,title,authors,venue_or_status,task,dataset_or_evidence,method_focus,missing_modality_handling,hypergraph_connection,relevance_to_project,verification,identifier,notes
HYP-2021-UNIGNN,hypergraph_learning,2021,"UniGNN: a Unified Framework for Graph and Hypergraph Neural Networks","Jing Huang; Jie Yang",arXiv preprint,hypergraph node classification,"Multiple real-world hypergraph benchmarks","Unified message-passing view for graph and hypergraph neural networks",N/A,"Directly relevant to the project's HGNN design vocabulary and message-passing framing","Useful background for explaining how GNN variants can be generalized to hypergraphs","https://arxiv.org/abs/2105.00956","arXiv:2105.00956","Keep as core hypergraph-learning background; not MRI-specific."
HYP-2021-ALLSET,hypergraph_learning,2021,"You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks","Eli Chien; Chao Pan; Jianhao Peng; Olgica Milenkovic",arXiv preprint,hypergraph node classification,"Ten known benchmarks plus three curated hypergraph datasets","Hypergraph layers as compositions of learnable multiset functions",N/A,"Relevant for higher-order aggregation alternatives beyond fixed incidence propagation","Good comparator for flexible hyperedge/node aggregation language","https://arxiv.org/abs/2106.13264","arXiv:2106.13264","Use as a modern HGNN method reference; verify final venue before manuscript citation."
HYP-2022-EDHNN,hypergraph_learning,2022,"Equivariant Hypergraph Diffusion Neural Operators","Peihao Wang; Shenghao Yang; Yunyu Liu; Zhangyang Wang; Pan Li",arXiv preprint,hypergraph node classification,"Nine real-world hypergraph datasets","Equivariant hypergraph diffusion operator implemented through star expansion plus message passing",N/A,"Relevant to dynamic or diffusion-style hypergraph reasoning over irregular higher-order relations","Useful for justifying higher-order relations and diffusion/message-passing design choices","https://arxiv.org/abs/2207.06680","arXiv:2207.06680","Keep as technical background; not medical-imaging-specific."
HYP-2023-HYPERGT,hypergraph_learning,2023,"Hypergraph Transformer for Semi-Supervised Classification","Zexi Liu; Bohan Tang; Ziyuan Ye; Xiaowen Dong; Siheng Chen; Yanfeng Wang",arXiv preprint,semi-supervised hypergraph classification,"Real-world hypergraph node classification tasks","Transformer-style global node-hyperedge interaction plus incidence-based positional encoding",N/A,"Relevant to the project's interest in combining local hypergraph propagation with broader context","Potential related method if discussing global hypergraph interactions","https://arxiv.org/abs/2312.11385","arXiv:2312.11385","Use conservatively unless final publication status is verified."
HYP-2025-REVIEW,hypergraph_learning,2025,"Recent Advances in Hypergraph Neural Networks","Murong Yang; Xin-Jian Xu",arXiv preprint,hypergraph neural network review,N/A,"Taxonomy covering HGCN/HGAT/HGAE/HGRN/deep hypergraph generative models",N/A,"Useful for positioning the project's two-stage hypergraph model within recent HGNN categories","Good source for taxonomy and open-problem framing, not a primary method baseline","https://arxiv.org/abs/2503.07959","arXiv:2503.07959","Review article; cite only after checking whether a peer-reviewed version exists."
BTS-2021-TRANSBTS,brain_tumor_mri_segmentation,2021,"TransBTS: Multimodal Brain Tumor Segmentation Using Transformer","Wenxuan Wang; Chen Chen; Meng Ding; Jiangyun Li; Hong Yu; Sen Zha",arXiv preprint,3D multimodal brain tumor segmentation,"BraTS 2019 and BraTS 2020","3D CNN encoder-decoder with Transformer global modeling",not designed primarily for missing modalities,"No explicit hypergraph; important transformer baseline for multimodal BraTS segmentation","Baseline context for non-hypergraph multimodal MRI segmentation","https://arxiv.org/abs/2103.04430","arXiv:2103.04430","Include as segmentation baseline context, not as missing-modality work."
BTS-2021-REDUNDANCY,brain_tumor_mri_segmentation,2021,"Redundancy Reduction in Semantic Segmentation of 3D Brain Tumor MRIs","Md Mahfuzur Rahman Siddiquee; Andriy Myronenko",arXiv preprint / BraTS 2021 challenge report,3D brain tumor segmentation,"BraTS 2021 validation board","Encoder-decoder segmentation with redundancy-reduction training and confidence ensembling",not designed primarily for missing modalities,"No explicit hypergraph; BraTS challenge performance context","Useful for current BraTS segmentation benchmark landscape","https://arxiv.org/abs/2111.00742","arXiv:2111.00742","Challenge-method source; avoid overclaiming clinical validation."
BTS-2022-SWINUNETR,brain_tumor_mri_segmentation,2022,"Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images","Ali Hatamizadeh; Vishwesh Nath; Yucheng Tang; Dong Yang; Holger Roth; Daguang Xu",arXiv preprint / BraTS 2021 challenge method,3D multimodal brain tumor segmentation,"BraTS 2021","Hierarchical Swin Transformer encoder with FCNN decoder skip connections",not designed primarily for missing modalities,"No explicit hypergraph; relevant strong transformer segmentation baseline","Important modern architecture comparator for multimodal MRI segmentation","https://arxiv.org/abs/2201.01266","arXiv:2201.01266","Good baseline context; not a missing-modality method."
BTS-2022-MULTICNN,brain_tumor_mri_segmentation,2022,"Multimodal CNN Networks for Brain Tumor Segmentation in MRI: A BraTS 2022 Challenge Solution","Ramy A. Zeineldin; Mohamed E. Karar; Oliver Burgert; Franziska Mathis-Ullrich",arXiv preprint / BraTS 2022 challenge solution,brain tumor segmentation,"BraTS 2022 continuous evaluation; Sub-Saharan Africa unseen test dataset","Ensemble of DeepSeg, nnU-Net, and DeepSCAN",not designed primarily for missing modalities,"No explicit hypergraph; benchmark/challenge context","Useful for segmentation-performance landscape and external test-set discussion","https://arxiv.org/abs/2212.09310","arXiv:2212.09310","Challenge solution; use mainly as empirical context."
BTS-2026-HYPERCONN,brain_tumor_mri_segmentation,2026,"Hyper-Connections for Adaptive Multi-Modal MRI Brain Tumor Segmentation","Lokendra Kumar; Shubham Aggarwal",arXiv preprint,3D multimodal brain tumor segmentation,"BraTS 2021","Dynamic hyper-connections as drop-in replacement for residual connections across nnU-Net, SwinUNETR, VT-UNet, U-Net, and U-Net++",modality ablation reported but not framed as full missing-modality learning,"Terminology is hyper-connections rather than hypergraph; adjacent fusion mechanism","Potential recent comparator for adaptive multimodal fusion, but not direct HGNN","https://arxiv.org/abs/2603.19844","arXiv:2603.19844","Very recent preprint; verify novelty and peer-review status before citing strongly."
