run,run_code,run_name_cn,combo,threshold_group,applied_threshold,acc,auc,f1,sen,spe,bal_acc,tn,fp,fn,tp,auc_warning,num_hyperedges,use_anatomy_edges,use_prototype_edges,use_mask_aware_classifier,mask_head_type,mask_order,use_mask_aware_node_fusion,use_node_type_embed,no_t1ce_t1_penalty,threshold,avg_gate_t1,avg_gate_t1ce,avg_gate_t2,avg_gate_flair,core_avg_gate_t1,core_avg_gate_t1ce,core_avg_gate_t2,core_avg_gate_flair,boundary_avg_gate_t1,boundary_avg_gate_t1ce,boundary_avg_gate_t2,boundary_avg_gate_flair,peri_inner_avg_gate_t1,peri_inner_avg_gate_t1ce,peri_inner_avg_gate_t2,peri_inner_avg_gate_flair,peri_outer_avg_gate_t1,peri_outer_avg_gate_t1ce,peri_outer_avg_gate_t2,peri_outer_avg_gate_flair,distal_normal_avg_gate_t1,distal_normal_avg_gate_t1ce,distal_normal_avg_gate_t2,distal_normal_avg_gate_flair
brats2020_public_eval,B0,初始公开集基线,t2,no_t1ce_no_t1,0.01,0.2432432432432432,0.6293103448275863,0.0666666666666666,0.0344827586206896,1.0,0.5172413793103449,8,0,28,1,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
brats2020_public_eval,B0,初始公开集基线,t1ce,has_t1ce,0.955,0.8648648648648649,0.8706896551724138,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
brats2020_public_eval,B0,初始公开集基线,t1,no_t1ce_with_t1,0.01,0.7837837837837838,0.5431034482758621,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
brats2020_public_eval,B0,初始公开集基线,flair,no_t1ce_no_t1,0.01,0.6756756756756757,0.6939655172413793,0.7857142857142857,0.7586206896551724,0.375,0.5668103448275862,3,5,7,22,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
brats2020_public_eval,B0,初始公开集基线,t2_t1ce,has_t1ce,0.955,0.8648648648648649,0.875,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0,0.9680268166435732,0.0319731915755635,0.0,0.0,0.9235839439002244,0.0764160591001533,0.0,0.0,0.958478219605781,0.0415217957204992,0.0,0.0,0.9782029342006991,0.0217970751634666,0.0,0.0,0.984186220813442,0.0158137841261627,0.0,0.0,0.9956827646977192,0.0043172437675358,0.0
brats2020_public_eval,B0,初始公开集基线,t2_t1,no_t1ce_with_t1,0.01,0.2972972972972973,0.6379310344827586,0.1875,0.1034482758620689,1.0,0.5517241379310345,8,0,26,3,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.2396986537940196,0.0,0.7603013542052862,0.0,0.0800624806182207,0.0,0.919937533301276,0.0,0.1671588683148493,0.0,0.8328411418038446,0.0,0.2033197156380157,0.0,0.796680290956755,0.0,0.2871276914469293,0.0,0.7128723199303085,0.0,0.4608245129520829,0.0,0.5391754850342467,0.0
brats2020_public_eval,B0,初始公开集基线,t2_flair,no_t1ce_no_t1,0.01,0.6756756756756757,0.6896551724137931,0.76,0.6551724137931034,0.75,0.7025862068965517,6,2,10,19,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.0,0.0,0.1342577426998082,0.8657422681918016,0.0,0.0,0.5028382565476538,0.4971617577043739,0.0,0.0,0.1048988997257937,0.8951011074555887,0.0,0.0,0.0452347811487433,0.9547652263899108,0.0,0.0,0.0182310356975288,0.9817689721648758,0.0,0.0,8.574037932103636e-05,0.9999142772442584
brats2020_public_eval,B0,初始公开集基线,t1ce_t1,has_t1ce,0.955,0.8648648648648649,0.875,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0172508372574855,0.9827491711925816,0.0,0.0,0.0225770843925465,0.9774229284879324,0.0,0.0,0.0208371182837207,0.9791628895579156,0.0,0.0,0.0141107933180715,0.9858892141161738,0.0,0.0,0.0206818926751117,0.9793181209950834,0.0,0.0,0.0080472976179771,0.9919527028058026,0.0,0.0
brats2020_public_eval,B0,初始公开集基线,t1ce_flair,has_t1ce,0.955,0.8648648648648649,0.8620689655172413,0.9152542372881356,0.9310344827586208,0.625,0.7780172413793103,5,3,2,27,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0,0.7877534402571292,0.0,0.2122465657002396,0.0,0.9409440129089196,0.0,0.0590559925601142,0.0,0.9049401073779508,0.0,0.0950598943213266,0.0,0.8586305449402111,0.0,0.1413694645415885,0.0,0.7174305358093005,0.0,0.2825694728475312,0.0,0.5168220002492643,0.0,0.4831780042306373
brats2020_public_eval,B0,初始公开集基线,t1_flair,no_t1ce_with_t1,0.01,0.6756756756756757,0.6896551724137931,0.7857142857142857,0.7586206896551724,0.375,0.5668103448275862,3,5,7,22,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.02275747830168,0.0,0.0,0.977242531325366,0.0742445316542904,0.0,0.0,0.9257554814622208,0.0208331826766016,0.0,0.0,0.9791668299082164,0.0117047663659316,0.0,0.0,0.9882952361493498,0.0069385703843158,0.0,0.0,0.993061437800124,6.63404272608899e-05,0.0,0.0,0.9999336713069196
